Lookup Index,Check Flag Status,Curve Type,References Used,Reference,# of Slopes,In air (or) Corrosion Protected in seawater (or) Free Corrosion in seawater,Log a1,Log s1,Log a1~,m1,Transfer Cycles 1,Transfer Stress 1 (Mpa),Log a2~,m2,Transfer Cycles 2,Transfer Stress 2 (Mpa),Log a3~,m3,Transfer Cycles 3,CAFL (Mpa),Log a4~,m4,Cycles at Fatigue/Endurance Limit,S0 (Mpa),Thickness Correction (mm),Thickness Coefficient,Special Notes*
55,verified,DNV'00 F,[5],[5],2.0,Seawater CP,-,-,11.455,3.0,1000000,65.79607697293413,15.091,5,-,-,-,-,-,-,-,-,10000000,41.51451800405688,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
56,verified,DNV'00 F1,[5],[5],2.0,Seawater CP,-,-,11.299,3.0,1000000,58.39827246189308,14.832,5,-,-,-,-,-,-,-,-,10000000,36.84681891478685,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
57,verified,DNV'00 F3,[5],[5],2.0,Seawater CP,-,-,11.146,3.0,1000000,51.90390101970831,14.576,5,-,-,-,-,-,-,-,-,10000000,32.74914755555792,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
58,verified,DNV'00 G,[5],[5],2.0,Seawater CP,-,-,10.998,3.0,1000000,46.344691973628855,14.33,5,-,-,-,-,-,-,-,-,10000000,29.241523778433358,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
59,verified,DNV'00 W1,[5],[5],2.0,Seawater CP,-,-,10.861,3.0,1000000,41.706140312672304,14.101,5,-,-,-,-,-,-,-,-,10000000,26.314795540202045,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
60,verified,DNV'00 W2,[5],[5],2.0,Seawater CP,-,-,10.707,3.0,1000000,37.06807217825763,13.845,5,-,-,-,-,-,-,-,-,10000000,23.38837238659357,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
61,verified,DNV'00 W3,[5],[5],2.0,Seawater CP,-,-,10.57,3.0,1000000,33.37336513051492,13.617,5,-,-,-,-,-,-,-,-,10000000,21.057169839117545,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
62,verified,DNV'00 T,[5],[5],2.0,Seawater CP,-,-,11.764,3.0,1000000,83.40651974086639,15.606,5,-,-,-,-,-,-,-,-,10000000,52.62595620803184,25,0.25,"e=0.30 for SCF>10, e=0.25 for SCF<=10"
63,verified,API-X,[1],[1],1.0,Seawater CP,-,-,15.061075323629792,4.38,-,-,-,-,-,-,-,-,-,-,-,-,200000000,34.945345953931,16,0.25,tref = reference thickness equal 22 mm for non-tubular joints and for tubular joints the reference thickness is 32 mm. 
64,verified,API-X',[1],[1],1.0,Seawater CP,-,-,13.398113691730504,3.74,-,-,-,-,-,-,-,-,-,-,-,-,200000000,23.05985665110474,16,0.25,none
65,verified,DNV'84 B,[2],[2],2.0,In Air,15.3697,0.1821,15.0055,4.0,10000000,100.4615790278397,17.01,5,-,-,-,-,-,-,-,-,-,0.0,22,0.0,correction factor should be applied for welded joints but welded joint does not (typically) include B-class
66,verified,DNV'84 C,[2],[2],2.0,In Air,14.0342,0.2041,13.626,3.5,10000000,78.34296427662116,16.47,5,-,-,-,-,-,-,-,-,-,0.0,22,0.25,none
67,verified,DNV'84 D,[2],[2],2.0,In Air,12.6007,0.2095,12.1817,3.0,10000000,53.210825926679505,15.63,5,-,-,-,-,-,-,-,-,-,0.0,22,0.25,none
68,verified,DNV'84 E,[2],[2],2.0,In Air,12.5169,0.2509,12.0151,3.0,10000000,47.20630412635908,15.37,5,-,-,-,-,-,-,-,-,-,0.0,22,0.25,none
69,verified,DNV'84 F,[2],[2],2.0,In Air,12.237,0.2183,11.8004,3.0,10000000,39.810717055349755,15,5,-,-,-,-,-,-,-,-,-,0.0,22,0.25,none
70,verified,DNV'84 F2,[2],[2],2.0,In Air,12.09,0.2279,11.6342,3.0,10000000,34.994516702835746,14.72,5,-,-,-,-,-,-,-,-,-,0.0,22,0.25,none
71,verified,DNV'84 G,[2],[2],2.0,In Air,11.7525,0.1793,11.3939,3.0,10000000,29.10717118066609,14.32,5,-,-,-,-,-,-,-,-,-,0.0,22,0.25,none
72,verified,DNV'84 W,[2],[2],2.0,In Air,11.5662,0.1846,11.197,3.0,10000000,25.11886431509581,14,5,-,-,-,-,-,-,-,-,-,0.0,22,0.25,none
73,verified,DNV'84 T,[2],[2],2.0,In Air,12.6606,0.2484,12.1638,3.0,10000000,52.96634438916579,15.62,5,-,-,-,-,-,-,-,-,-,0.0,22,0.25,none
74,verified,DNV'84 B,[2],[2],1.0,Seawater CP,15.3697,0.1821,15.0055,4.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,48.0,22,0.0,tref = reference thickness equal 22 mm for non-tubular joints and for tubular joints the reference thickness is 32 mm. Correction factor should be applied for welded joints but welded joint does not (typically) include B-class
75,verified,DNV'84 C,[2],[2],1.0,Seawater CP,14.0342,0.2041,13.626,3.5,-,-,-,-,-,-,-,-,-,-,-,-,200000000,33.0,22,0.25,tref = reference thickness equal 22 mm for non-tubular joints and for tubular joints the reference thickness is 32 mm. 
76,verified,DNV'84 D,[2],[2],1.0,Seawater CP,12.6007,0.2095,12.1817,3.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,20.0,22,0.25,tref = reference thickness equal 22 mm for non-tubular joints and for tubular joints the reference thickness is 32 mm. 
77,verified,DNV'84 E,[2],[2],1.0,Seawater CP,12.5169,0.2509,12.0151,3.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,18.0,22,0.25,tref = reference thickness equal 22 mm for non-tubular joints and for tubular joints the reference thickness is 32 mm. 
78,verified,DNV'84 F,[2],[2],1.0,Seawater CP,12.237,0.2183,11.8004,3.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,15.0,22,0.25,none
79,verified,DNV'84 F2,[2],[2],1.0,Seawater CP,12.09,0.2279,11.6342,3.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,13.0,22,0.25,tref = reference thickness equal 22 mm for non-tubular joints and for tubular joints the reference thickness is 32 mm. 
80,verified,DNV'84 G,[2],[2],1.0,Seawater CP,11.7525,0.1793,11.3939,3.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,11.0,22,0.25,none
81,verified,DNV'84 W,[2],[2],1.0,Seawater CP,11.5662,0.1846,11.197,3.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,10.0,22,0.25,none
82,verified,DNV'84 T,[2],[2],1.0,Seawater CP,12.6606,0.2484,12.1638,3.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,19.0,22,0.25,none
83,not verified,Titanium (Baxter),[6],[6],1.0,No Info,-,-,19.832508912706235,6.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,83.54359369161034,100,0.0,Data not verified
84,not verified,Titanium (Marintek 1998),[7],[7],1.0,No Info,-,-,17.462397997898954,5.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,67.96316577775767,100,0.0,Data not verified
85,not verified,Titanium (Marintek 2002),[8],[8],1.0,No Info,-,-,16.982271233039565,5.0,-,-,-,-,-,-,-,-,-,-,-,-,200000000,54.48139854853321,100,0.0,Data not verified
86,not verified,Titanium (DNV 2001), , ,1.0,No Info,-,-,13.10002573010786,3.4,-,-,-,-,-,-,-,-,-,-,-,-,200000000,25.791068424729424,100,0.0,Reference not available
87,verified,BP'08 B ,[10],[10],1.0,Free Corrosion,-,-,14.52762990087134,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,25,0.0,Note that no thickness correction is required in the assessment of flush ground welds
88,verified,BP'08 C ,[10],[10],1.0,Free Corrosion,-,-,13.14921911265538,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
89,verified,BP'08 D ,[10],[10],1.0,Free Corrosion,-,-,11.705007959333336,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
90,verified,BP'08 E ,[10],[10],1.0,Free Corrosion,-,-,11.540329474790871,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
91,verified,BP'08 F ,[10],[10],1.0,Free Corrosion,-,-,11.32221929473392,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
92,verified,BP'08 F2,[10],[10],1.0,Free Corrosion,-,-,11.152288344383056,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
93,verified,BP'08 G ,[10],[10],1.0,Free Corrosion,-,-,10.920645001406788,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
94,verified,BP'08 Wa,[10],[10],1.0,Free Corrosion,-,-,10.492760389026838,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
95,verified,BP'08 B ,[10],[10],2.0,In Air,-,-,15.0,4.0,100000000,55.987591611725385,18.488550716500445,6,-,-,-,-,-,-,-,-,-,0.0,25,0.0,Note that no thickness correction is required in the assessment of flush ground welds
96,verified,BP'08 C ,[10],[10],2.0,In Air,-,-,13.625312450961674,3.5,100000000,41.00159108624936,16.870403905279026,5.5,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
97,verified,BP'08 D ,[10],[10],2.0,In Air,-,-,12.181843587944773,3.0,100000000,25.002239598699905,14.989894563718773,5,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
98,verified,BP'08 E ,[10],[10],2.0,In Air,-,-,12.01703333929878,3.0,100000000,21.996898244409817,14.711807229041192,5,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
99,verified,BP'08 F ,[10],[10],2.0,In Air,-,-,11.801403710017356,3.0,100000000,18.019831273171448,14.278753600952829,5,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
100,verified,BP'08 F2,[10],[10],2.0,In Air,-,-,11.634477270160732,3.0,100000000,16.004343344404724,14.021189299069938,5,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
101,verified,BP'08 G ,[10],[10],2.0,In Air,-,-,11.397940008672036,3.0,100000000,14.000916164965135,13.730782275666389,5,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
102,verified,BP'08 Wa,[10],[10],2.0,In Air,-,-,10.9698816437465,3.0,100000000,10.000000000000002,13,5,-,-,-,-,-,-,-,-,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
103,verified,BP'08 B ,[10],[10],4.0,Seawater CP,-,-,14.606381365110606,4.0,1180934.2859879576,136,21.008600171761916,7,10000000,100,15,4,100000000,56,18.488550716500445,6,-,0.0,25,0.0,Note that no thickness correction is required in the assessment of flush ground welds
104,verified,BP'08 C ,[10],[10],4.0,Seawater CP,-,-,13.227886704613674,3.5,1101823.8083302462,113,18.352182518111363,6,10000000,78,13.625312450961674,3.5,100000000,41,16.870403905279026,5.5,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
105,verified,BP'08 D ,[10],[10],4.0,Seawater CP,-,-,11.783903579272735,3.0,1025807.148256131,84,15.632457292184725,5,10000000,53,12.181843587944773,3,100000000,25,14.989894563718773,5,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
106,verified,BP'08 E ,[10],[10],4.0,Seawater CP,-,-,11.619093330626743,3.0,1026592.6993465389,74,15.357934847000454,5,10000000,47,12.01703333929878,3,100000000,22,14.711807229041192,5,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
107,verified,BP'08 F ,[10],[10],4.0,Seawater CP,-,-,11.401400540781545,3.0,1007810.5316200592,63,14.994756944587628,5,10000000,40,11.801403710017356,3,100000000,18,14.278753600952829,5,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
108,verified,BP'08 F2,[10],[10],4.0,Seawater CP,-,-,11.232996110392154,3.0,1027798.6476333616,55,14.714329759745233,5,10000000,35,11.634477270160732,3,100000000,16,14.021189299069938,5,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
109,verified,BP'08 G ,[10],[10],4.0,Seawater CP,-,-,11.0,3.0,1027369.1131749816,46,14.324282455297693,5,10000000,29,11.397940008672037,3,100000000,14,13.730782275666389,5,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
110,verified,BP'08 Wa,[10],[10],4.0,Seawater CP,-,-,10.571708831808689,3.0,1037927.4842084772,33,13.60422605308447,5,10000000,21,10.9698816437465,3,100000000,10,13,5,-,0.0,25,0.15,Note that no thickness correction is required in the assessment of flush ground welds
111,verified,Norsok'98 B1,[3],[3],2.0,Seawater CP,-,-,12.513,3.0,1000000,148.3200967181877,16.856,5,-,-,-,-,-,-,-,-,10000000,93.58365435835306,25,0.0,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
112,verified,Norsok'98 B2,[3],[3],2.0,Seawater CP,-,-,12.339,3.0,1000000,129.77767816857823,16.566,5,-,-,-,-,-,-,-,-,10000000,81.88417919005121,25,0.0,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
113,verified,Norsok'98 C,[3],[3],2.0,Seawater CP,-,-,12.192,3.0,1000000,115.8777356155128,16.32,5,-,-,-,-,-,-,-,-,10000000,73.11390834834182,25,0.15,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
114,verified,Norsok'98 C1,[3],[3],2.0,Seawater CP,-,-,12.049,3.0,1000000,103.8006325345066,16.081,5,-,-,-,-,-,-,-,-,10000000,65.49377145933666,25,0.15,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
115,verified,Norsok'98 C2,[3],[3],2.0,Seawater CP,-,-,11.901,3.0,1000000,92.68298233793504,15.835,5,-,-,-,-,-,-,-,-,10000000,58.4790084144481,25,0.15,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
116,verified,Norsok'98 D,[3],[3],2.0,Seawater CP,-,-,11.764,3.0,1000000,83.40651974086639,15.606,5,-,-,-,-,-,-,-,-,10000000,52.62595620803184,25,0.2,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
117,verified,Norsok'98 E,[3],[3],2.0,Seawater CP,-,-,11.61,3.0,1000000,74.13102413009182,15.35,5,-,-,-,-,-,-,-,-,10000000,46.77351412871982,25,0.2,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
118,verified,Norsok'98 F,[3],[3],2.0,Seawater CP,-,-,11.455,3.0,1000000,65.79607697293413,15.091,5,-,-,-,-,-,-,-,-,10000000,41.51451800405688,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
119,verified,Norsok'98 F1,[3],[3],2.0,Seawater CP,-,-,11.299,3.0,1000000,58.39827246189308,14.832,5,-,-,-,-,-,-,-,-,10000000,36.84681891478685,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
120,verified,Norsok'98 F3,[3],[3],2.0,Seawater CP,-,-,11.146,3.0,1000000,51.90390101970831,14.576,5,-,-,-,-,-,-,-,-,10000000,32.74914755555792,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
121,verified,Norsok'98 G,[3],[3],2.0,Seawater CP,-,-,10.998,3.0,1000000,46.344691973628855,14.33,5,-,-,-,-,-,-,-,-,10000000,29.241523778433358,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
122,verified,Norsok'98 W1,[3],[3],2.0,Seawater CP,-,-,10.861,3.0,1000000,41.706140312672304,14.101,5,-,-,-,-,-,-,-,-,10000000,26.314795540202045,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
123,verified,Norsok'98 W2,[3],[3],2.0,Seawater CP,-,-,10.707,3.0,1000000,37.06807217825763,13.845,5,-,-,-,-,-,-,-,-,10000000,23.38837238659357,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
124,verified,Norsok'98 W3,[3],[3],2.0,Seawater CP,-,-,10.57,3.0,1000000,33.37336513051492,13.617,5,-,-,-,-,-,-,-,-,10000000,21.057169839117545,25,0.25,tref = reference thickness equal 25 mm for welded connections other than tubular joints. For tubular joints the reference thickness is 32 mm. For bolts tref = 25 mm
125,verified,Norsok'98 T,[3],[3],2.0,Seawater CP,-,-,11.764,3.0,1000000,83.40651974086639,15.606,5,-,-,-,-,-,-,-,-,10000000,52.62595620803184,25,0.25,"e=0.30 for SCF>10, e=0.25 for SCF<=10"
126,Guidance not finalized,BP TH (C-Mn steel pipes),[10],[10],3.0,Sour service,-,-,12.544688022302678,3.68,5010104111.369036,5.93,14.711807229041192,0,70231794008.00607,5.93,14.711807229041192,5,-,-,-,-,-,0.0,25,0.15,none
127,No Data,DOE-T '95,,,,,,,,,,,,,,,,,,,,,,,,,Reference not available
128,No Data,DOE-P '95,,,,,,,,,,,,,,,,,,,,,,,,,Reference not available
