NUMBER,VESSEL DESIGN,CONSTRUCTION DATE,UPGRADE DATE,CLASSIFICATION,MAXIMUM WATER,DEPTH EQUIPPED,MAXIMUM WATER.1,DEPTH RATING,MAXIMUM DRILLING DEPTH,CURRENT CONTRACT,AREA OF OPERATION,TOTAL VESSEL POWER,MAX. VESSEL SPEED,QUARTERS CAPACITY,LENGTH,TRANSIT DRAFT,OPERATING DRAFT,WIDTH,MAX. VARIABLE LOAD,MOONPOOL SIZE,D.P. RATING (if applicable),THRUSTERS,SIZE of CHAIN,CHAIN GRADE,LENGTH OF CHAIN,WIRE ROPE Diameter,LENGTH of WIRE ROPE,ANCHOR SIZE,PEDESTAL CRANE 1,PEDESTAL CRANE 2,PEDESTAL CRANE 3,PEDESTAL CRANE 4,RISER HANDLING CRANE,DERRICK RATING,DERRICK MANUFACTURER,DERRICK FOOTPRINT,DRAWWORKS,drawworks,drill line size,rotary table size,IRON ROUGHNECK,top drive,HEAVE COMPENSATOR,heave compensAtION,CAPACITY,COMPENSATION TYPE,(ACTIVE/PASSIVE),PIPE RACKING SYSTEM,DRILLING,INSTRUMENTATION,5-in. DRILLPIPE,5.5-in. DRILLPIPE,6.625-in. DRILLPIPE,3.5-in. DRILLPIPE,MUD PUMPS,MUD PUMPS.1,mud pit active volume,mud pit reserve volume,Unnamed: 59,bulk storage capacity,DEDICATED COMPLETION,FLUID VOLUME,Gumbo Buster,shale shakers,desander,desilter,riser tensioner,(Total capacity ),RISER TENSIONERS,RISER TENSIONERS.1,DIVERTER SIZE,CLASS of RISER,RISER SIZE,RISER JOINT LENGTH,FLEX JOINT (Top/,Bottom or both ),RISER MANUFACTURER,RISER STORAGE MAIN,DECK or “IN HOLD”,BOP OPERATING PRESSURE,C&K LINE SIZE,RAM BOP’s,RAM BOP’s.1,ANNULAR BOP’s,ANNULAR BOP’s.1,BOP stack envelope,dimensions,Total BOP stack Wt.,(including LMRP),WELLHEAD CONNECTOR,BOP CONTROL SYSTEM,BOP CONTROL SYSTEM.1,"SHEAR 6.635"" drillpipe?",RISER HANG-OFF CAPACITY,AUX. LINE SIZE,RISER & RISER TENSIONER DATA BOP & BOP CONTROL DATA,yr. yr. society ft,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
1,ATWOOD,EAGLE,SS,Korkut,New,Era,1982,2002,ABS,5000,5000,25000,3Q/16,Australia,7800,-,120,325,200,24,55,4500,20x40,,,3.25,ORQ+20,3300,3.5,10000,13,52.5,30,-,-,45,1200,Pyramid,40x40,3000,Oilwell,1.5,60.5,Varco,Varco-TDS-4S,W.G.,650,P,none,Petron,-,15000,-,-,3,N-O,A1700PT,3624,1282,2614,10000,Y,3+3,1,1,1600,12,W.G.,59,E,21,75,B,Vetco,5000,10,3.75,3.8/2.5,2,4,Cameron,2,Shaffer,13x15,340,H4E,Bias,Shaffer,Y,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,ATWOOD,FALCON,SS,Korkut,New,Era,1983,2011,ABS,5000,5000,25000,3Q/16,Australia,7800,-,122,325,226,24,55,4400,20x40,,,3,R3S,4500,3.5,8000,10,45.5,33.5,-,-,15,1000,Pyramid,40x40,3000,Oilwell,1.5,60.5,NOV,Varco-TDS-4H,W.G.,650,P,none,Petron,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,ATWOOD,HUNTER,SS,Korkut,New,Era,1981,2001,ABS,5000,5000,25000,-,West,Africa,8050,-,120,290,246.7,24,55,3630,20x40,,,2.75,ORQ+20,4500,3.25,8000,11,52.5,31.5,-,-,30,1200,Pyramid,40x40,3000,Oilwell,1.5,49.5,NOV,ST80,Varco-TDS-4S,W.G.,650,P,non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ATWOOD,OSPREY,SS,F&G,ExD,Millennium,2011,-,ABS,8200,8200,32000,2Q/17,Australia,-,-,200,354,244,27.4,55.7,7000,-,,,3.75,RQ-4,3500,3.625,6000,13.22,115,115,-,-,25,2000,Loadmaster,46,x,52,6900,NOV,2,60.5,NOV,ST-120,NOV,TDS-1000A,NOV,AHD,-,A,NOV,HydraRacker,NOV,-,20000,-,-,4,Lewco,15950,incl.,-,28000,Y,6,1,1,3600,6,NOV,60,-,20,75,B,Aker,7000,15,3,-,2,5,Hydril,2,Hydril,-,-,H4,Mux,Hydril,-,-,,,,,,,,,,,,,,,,,,,,,,,
3,OCEAN,AMERICA,SS,Odyssey,1988,2004,ABS,5500,5500,30000,2Q/15,Australia,18120,-,123,401,259,27,80,7835,21x44,-,,3.25,AB/RQ4,4775,3.5,5600,11,78.5,78.5,90.3,-,30,1800,Branham,40x40,3000,C-E,1.625,49.5,Varco,AR3200,Varco-TDS-4S,Shaffer,600,P,BJarm,Petron,-,15000,-,-,3,Continental,Emsco,FB1600,2820,5220,1800,24000,N,5,1,1,1280,8,Shaffer,49.5,E,21,50,T,Cameron,6400,15,3,2.5/4,4,4,Hydril,2,Cam./Hyd.,14.5x19.6,473,Vetco,H-4,HYD,Cameron,Y,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,OCEAN,APEX,SS,Enhanced,Victory/Crucifix,Form,2014,-,ABS,5000,6000,30000,1Q/15,Vietnam,12000,4.5,140,328,320,46,74,7000,41x81,,,3.25,RQ5,4200,3.75,8000,16,56,50,80,35,-,2000,NOV,40,x40,4000,NOV,Udbel,2,49.5,NOV,ST-120,NOV,TDX-1000,NOV,800,P,NOV,BR-10-SD-D,-,-,-,-,-,4,NOV,14-P-220,-,8000,-,25000,-,-,-,-,1600,8,-,24,FT-E,-,75,-,Shaffer,-,15,3,-,-,5,Shaffer,2,Shaffer,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,BARONESS,SS,Victory,1973,2001,ABS,7000,8000,35000,3Q/15,Brazil,12940,4,138,324,327,42,74.5,5500,91x25,-,,3.25,ORQ+20,4200,3.5,10000,11,62,62,62,-,40,2000,Loadmaster,48x46,4000,National,2,60.5,Hydralift,National,PS-1000,Hydralift,1000,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,OCEAN,ENDEAVOR,SS,Victory,1975,2007,ABS,8000,10000,35000,4Q/15,Italy,12940,4,140,324,327,42,74.5,6000,91x25,-,-,3.25,RQ4,4200,3.5,10800,11,89.5,89.5,56,-,41,2000,National,48x46,4000,National,2,60.5,Hydralift,National,PS-1000,Hydralift,1000,P,Bridgeracker,Hitec,-,-,8000,-,4,N-O,"FC2200(3),",A1700PT(1),2943,13000,incl.,26480,Y,5,1,1,3600,6,Hydralift,60.5,F,21,75,T/B,S&S,8000,15,4.5,4,4,5,Hydril,2,Hydril,16.4x19.6,694,DWH4,MUX,Hydril,Y,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,MONARCH,SS,Victory,1974,2008,ABS,8000,10000,35000,1Q/15,SEAsia,12940,4,150,324,327,42,74.5,6000,91x25,-,-,3.25,RQ5,4200,3.75,10400,16.5,89.5,89.5,56,-,37,2000,National,48x46,4000,National,2,60.5,Hydralift,National,PS-1000,Hydralift,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,OCEAN,ONYX,SS,Victory,2013,-,ABS,6000,-,30000,1Q/15,GoM,10750,4,140,327,315,42,74.5,5600,41x81,-,,3.25,RQ4,4200,3.5,8800,15,60,60,75,35,-,1600,NOV,Dreco,40x40,3000,C-E,1.75,49.5,NOV,ST-120,NOV-TDS-4S,NOV,600,P,-,-,-,-,-,-,4,NOV,12-P-160,-,6900,-,13800,-,-,-,-,1600,8,-,49.5,FT-E,-,75,-,Shaffer,-,15,3,-,-,5,Shaffer,2,Shaffer,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,QUEST,SS,Victory,1973,1996,ABS,3500,4000,25000,4Q/14,Malaysia,9075,4,99,324,336,32,70,5600,19x35,-,-,3.25,ORQ+20,3200,3.5,8800,11,56,56,56,-,-,1150,Pyramid,40x40,3000,C-E,1.625,49.5,Varco,AR3200,Varco-TDS-4S,Shaffer,400,P,-,Totco,20000,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,OCEAN,ROVER,SS,Victory,1973,2002,ABS,8000,8000,35000,1Q/16,SEAsia,12940,4,130,324,327,42,74.5,5500,91x25,-,-,3.25,ORQ+20,4200,3.5,10000,11,110,66,62,-,40,2000,Dreco,48x46,4000,National,2,60.5,Hydralift,National,PS-1000,Hydralift,1000,P,Hydraracker,Hitec,9500,21000,-,8000,4,N-O,"FC2200(3),",A1700PT(1),2943,4000,incl.,17120,Y,5,1,1,3600,6,Hydralift,60.5,F,21,75,T/B,Shaffer,6500,15,4.5,4,4,4,Hydril,2,Hydril,16.4x19.6,694,DWHC,MUX,Hydril,Y,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,OCEAN,STAR,SS,Victory,1973,1996,ABS,5500,5500,30000,2Q/14,Brazil,10750,3.5,116,336,315,32,74,5600,20x20,-,-,3.25,ORQ+20,4000,3.5,8800,15,60,60,60,-,25,1300,Pyramid,40x40,3000,Oilwell,1.625,49.5,Varco,AR3200,Varco-TDS-4S,Westech,Gear,600,p,-,MD,Totco,5000,15000,-,-,3,National,Oilwell,12P-160,1584,1350,incl.,18520,Y,4,1,1,1280,8,Shaffer,49.5,E,21,75,B,Shafer,5500,15,3,4,4,4,Shaffer,2,Shaffer,14.5x16.67,480,H4,HYD,Shaffer,Y,1280,,,,,,,,,,,,,,,,,,,,,,,,,,
9,OCEAN,VICTORY,SS,Victory,1973,1997,ABS,5500,5500,25000,2Q/17,GoM,9075,4,110,336,315,32,74,5700,20x17,-,-,3.25,ORQ+20,4200,3.5,8800,11,56,56,56,-,25,1500,Dreco,40x40,3000,C-E,1.625,49.5,Varco,AR3200,Varco-TDS-4S,Shaffer,500,P,-,MDT,15000,-,-,-,3,Continental,Emsco,FB1600,3200,incl.,incl.,13800,Y,4,1,1,1280,8,Shaffer,49.5,E,21,75,B,Shaffer,5075,15,3,2.3/4,4,4,Shaffer,2,Shaffer,16.67x16.67,477,H4,HYD,Shaffer,N,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,WINNER,SS,Enhanced,Aker,H-3,1976,-,DNV,3500,4000,25000,1Q/15,Brazil,3880,4,96,355,248,22,70,3920,15X36,-,-,3,ORQ+20,4500,-,-,10,60,60,-,-,-,1000,Golar-Nor,40x40,3000,National,1.5,49.5,Varco,AR3200,Varco-TDS-4S,Shaffer,500,p,-,MD,Totco,"16,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,WORKER,SS,Enhanced,Pacesetter,9500,1982,-,ABS,3500,4000,25000,1Q/15,Brazil,13280,4.5,108,303,200,25,65,4428,20,x,23,-,-,3,ORQ+20,4880,3.5,5000,16.5,57.9,57.9,56,-,-,1050,Dreco,40x40,3000,National,1.625,49.5,Varco,AR3200,Varco,TDS-4H,NOV,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,OCEAN,VALIANT,SS,Odyssey,1988,1999,ABS,5500,5500,30000,available,W.,Africa,18120,12,140,401,259,27,80,7050,21x44,-,"4x2,700",3.25,ORQ+20,4500,3.5,5600,12,78.5,78.5,78.5,-,30,1500,DSL,40x40,3000,C-E,1.625,49.5,Varco,AR3200,Varco-TDS-4S,Shaffer,600,P,BJarm,Petron,-,18000,-,-,3,Continental,Emsco,FB1600,2820,incl.,incl.,24000,Y,4,-,-,1280,8,Shaffer,49.5,E,21,50,B,Cameron,5120,15,3,2.5/4,4,4,Cameron,2,Cameron,14.5x19.6,473,H4,HYD,Cameron,Y,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BLACKFORD,DOLPHIN,SS,Deepwater,Enhanced,Aker,H-3,1974,2008,DNV,6000,7000,30000,3Q/16,India,19300,-,130,355,276,22,70,4500,32x20,-,-,3.25,R4,4200,3.75,9000,15,85,85,-,-,85,1500,Dreco,40x35,4500,National,1.875,60.5,Hydratong,National,EPS,750-E-AC-KT,National,CMC-1500,800,A,HydraRacker,NOV,Cyberbase,-,25000,-,-,3,National,Oilwell,14P-220,2360,2640,2735,17360,N,5,1,1,2400,6,National,60.5,E,21,70,B,Vetco,6000,15,3,4,1,5,Hydril,2,Hydril,,,DWHD,H-4,MUX,Vetco,Y,1500,,,,,,,,,,,,,,,,,,,,,
12,ENSCO,5001,SS,Sonat,1974,1999,ABS,5000,5000,25000,1Q/15,Eq.,Guinea,13000,-,140,378.5,264,33,75,4100,22x94,,,3.25,R3S,3500,3.5,10000,8x14.88,66,50,-,-,35,1500,Bailey,40x40,3000,National,1.75,60.5,M-H,Hydralift,HPS-650,NOV-CMC,600,P,BJ-2,arm,Hitec,5827,26900,-,-,4,2xC-E,FA-1600/1xFC-1600/1xNOV,12-P-60,5308,-,6489,21000,N,4,1,1,1910,10,NOV,Hydralift,60.5,G,21,75,Both,Cameron,6825,15,3.5,1x3.50/2x2.057,3,4,Cameron,2,Hydril,,,Vetco,H4-ExF,MUX,Cameron,-,1500,,,,,,,,,,,,,,,,,,,,,,,,
13,ENSCO,5006,SS,Bingo,8000,1999,1999,DNV,5000,7500,25000,1Q/18,Egypt,12220,-,120,390,234,30,78,8322,21.4x100,,,3.25,R3S,2500,3.75,10600,8x16.5,89,66,-,-,35,1600,Loadmaster,40x44,3000,National,1.75,60.5,Varco,AR-3200,Varco,TDS-4S,NOV-CMC,600,P,M-H,Column,Hitec,-,21160,-,6930,3,NOV,14-P-220,5100,4800,24324,20600,Y,5,1,2,1932,12,NOV,Hydralift,60.5,H,21,75,Both,Cameron,6000,15,4,1x4.00/2x2.04,3,4,Cameron,2,Hydril,,,Vetco,HDH4,MUX,Cameron,-,2000,,,,,,,,,,,,,,,,,,,,,,,,
14,NOBLE,AMOS,RUNNER,SS,EVA-4000™,1982,1999,ABS,8000,8000,32500,4Q/15,GoM,12500,3.5,122,348.6,328.25,15.75,79,4000,25x45,-,-,2.75,ORQ3,4250,3.25,10500,13.5,65,65,43,-,50,1500,Dreco,40x40,3000,Oilwell,1.75,60.5,Varco,AR3200C,Varco-TDS-4S,Shaffer,800,P,Varco-PRS-4i,Totco,-,20000,1000,-,3,2,CE-2200/NOA1700PT,1500,13000,2155,18250,Y,5,1,1,1920,12,Shaffer,60,E/F,19.75,75,T,Shaffer,8000,15,4.5,4.75,4,4,Shaffer,2,Shaffer,17x19,520,Vetco,HDH4,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NOBLE,CLYDE,BOUDREAUX,SS,Modified,Enhanced,Pacesetter,1987,2007,ABS,7500,10000,35000,3Q/15,Australia,12900,4,200,318,248,29,66,5555,90x20,-,-,3.25,RQ5,3200,3.75,12000,20,125,125,-,5.5,40,2MM/1MM,Dreco,40x69,"4,000/2,000",National,2/1.375,60.5/49.5,-2,AR5000,MW,Oilwell,PS2/SW,Oilwell,PS50A,Shaffer,"1,000/650",P/P,Varco-PRS-4i(2),Cyberbase,10000,-,5000,-,4,N-O,FC,2200,3000,7085,-,25800,Y,4,1,1,1920,12,Shaffer,60,S-FTH,21,75,T,Shaffer,7500,15,4.5,4,5,6,Shaffer,2,Shaffer,15x19,748,Vetco,HDH4,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,
16,NOBLE,DRILLER,SS,Aker,H-3,Semi,(Enhanced),1976,2009,DNV,5000,5000,30000,3Q/14,GoM,13500,4,112,355,241,22,70,3719,63x18x31,,,Knk,"Boom""",40,2MM/1MM,Dreco,40x69,"4,000/2,000",80,52.5,,,120,1300,Woolslayer,40x40,3300,National,1625E,1.5,49.5,MH1898-BC251,DDM,650,HYC-350-H,Hydralift,C.M.C,600,P,MH,MDTotco,25000,25000,,,4,National,12-P-160,1700,4266,,18008,Y,5,1,,1600,8,Control,Flow,49.5,F,21,75,B,Vetco,H.M.F.,5000,10,3,3.75,3,6,Cameron,2,NOV,15x21,625,Vetco,H4,E,HYD,Oceaneering,Y,1000,,,,,,,,,,,,,,,,,,
17,NOBLE,HOMER,FERRINGTON,SS,Enhanced,Pacesetter,1984,1999,ABS,7200,7200,25000,3Q/14,Med,10000,3.5,150,338.9,225.6,19,55,4000,79x20,-,-,2.75,K4,3750,3.25,9000,13.5,65,65,43,-,40,1500,Dreco,40x40,3000,Oilwell,1.75,60.5,Varco,AR3200,Varco-TDS-4S,Shaffer,600,P,Varco-PRS-4i,Totco,4000,20000,-,5250,4,N-O,12P-160,2500,4000,2324,14550,Y,5,1,1,1920,12,Shaffer,60,E/F,19.75,75,T,Shaffer,7200,15,4.5,4,4,4,Shaffer,2,Shaffer,15x19,560,Vetco,HDH4,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NOBLE,JIM,THOMPSON,SS,EVA-4000™,1982,1999,ABS,6000,6000,30000,4Q/14,GoM,10000,3.5,136,348.6,328.25,15.9,75-79,4000,25x45,-,-,2.75,R5,4250,3.25,10500,13.5,65,65,40,-,40,1500,Dreco,40x40,3000,Oilwell,1.75,60.5,Varco,AR3200,Varco-TDS-4S,Shaffer,600,P,Varco-PRS-4i,Totco,-,20000,-,-,4,A1700PT/,1,NOV,D750L,Riser,Boost,2000,13000,2155,18250,Y,5,1,1,1600,10,Shaffer,60,E/F,21,75,T,Shaffer,7200,15,4.5,4,4,4,Shaffer,1,Shaffer,19x17,520,Vetco,H4EXF,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,,,,
-,NOBLE,MAX,SMITH,SS,EVA-4000™,1980,1999,ABS,7000,7000,25000,3Q/14,Brazil,10000,3.5,130,348.6,328.25,17,79,4000,25x45,-,-,2.75,ORQ3,4250,3.25,10500,13.5,65,65,43,-,50,1500,Dreco,40x40,3000,C-E,1.75,60.5,Varco,AR3200,Varco-TDS-4S,Shaffer,800,P,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,NOBLE,PAUL,ROMANO,SS,EVA-4000™,1981,1998,ABS,6000,6000,28000,4Q/14,Malta,10000,3.5,122,348.6,328.25,34,79,4000,25x45,-,-,2.75,Grade,5,4250,3.25,10500,13.5,65,65,43,-,40,1500,Dreco,40x40,3000,Oilwell,1.75,60.5,Varco,AR3200C,Varco-TDS-4S,Shaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,MSS2,(prev.,NOBLE,THERALD,MARTIN),SS,Pentagon,1975,2003,ABS,2350,4000,25000,4Q/15,Brazil,8400,3,120,324,338,24.6,71.5,2315,52.3x19.5,-,-,3,ORQ,1250,2.75,5600,9.3,57,57,16,16,-,1100,C.,E.,36x36,3000,Emsco,C-3,1.5,49.5,Varco,AR3200C,National,PS2-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,MSS3,(prev.,NOBLE,LORRIS,BOUZIGARD),SS,Pentagon-85,1975,2003,ABS,4000,4000,25000,-,GoM,8400,3,120,324,338,24.6,71.5,2400,52.3x19.5,-,-,3,ORQ,1250,2.75,5600,9.3,57,57,16,16,-,1150,C.E.,36x36,3000,National,1.5,49.5,Varco,AR3200C,National,Shaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DEEPWATER,NAUTILUS,SS,RBS-8M,1999,-,ABS,8000,8000,30000,3Q/17,GoM,25200,4.5,150,392,308,28.9,75.5,9701,21x93,-,-,3.56,K4,3000,3.75,15000,19.8,101.4,101.4,-,-,39,2500,Dreco,48x48,8400,Hitec,2,60.5,Varco,AR3200,Varco,TDS-8SA,Hitec,AHD,-,A,Varco-PRS-4i,-2,Hitec,-,Y,-,-,4,NOV,14-P-220,4000,5712,3019,26364,-,7,-,-,4800,6,Hydralift,60.5,G,21.25,90,T/B,Vetco,-,15,4.5,3.826,4,5,Cameron,2,Cameron,13.8x17.5,614,Vetco,SHDH4,MUX,Cameron,Y,2000,,,,,,,,,,,,,,,,,,,,,,,,,
20,GSF,CELTIC,SEA,SS,F&G,L907,Enhanced,Pacesetter,1982,1998,ABS,5750,5750,28000,3Q/14,Angola,19000,5,140,320,285,25,68.6,5600,76.5x22,-,"4x2,400,","2x2,150",3,ORQ-K4,4500,3.5,10000,16.5,85,85,-,-,30,1600,Dreco,40x40,3000,National,1.75,49.5,Varco,AR3200,Varco,TDS-4S,Shaffer,600,P,-,Hitec,Y,-,-,-,3,National,Oilwell,12P-160,2470,5802,1418,22925,Y,4,2,1,1920,12,Shaffer,20,F,21,75,T/B,S&S,5600,15,3,4,4,4,Cameron,2,Shaffer,12x16,520,HDH4,MUX,Cameron,N,1300,,,,,,,,,,,,,,,,,,,,,,
21,HENRY,GOODRICH,SS,Sonat/Mitsui,SES-5000,1985,2007,DNV,5000,5000,30000,3Q/14,Canada,22528,-,145,320,251,43,93,5512,23x26,-,"2x6,904",3,K4,"12x5,500",-,-,16.5,83,83,-,-,2x20,1500,M-H,40x40,3000,C-E,1.75,49.5,M-H,Varco,TDS-4S,M-H,600,P,-,M-D,-,Y,Y,-,3,Continental,Emsco,FB1600,1700,1800,4060,30000,-,5,1,-,1600,16,Hydril,49,E,21,75,T,S&S,1500,15,3,2.5,1,5,Shaffer,2,Shaffer,-,-,Vetco,EXF,HYD,Shaffer,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,
22,JACK,BATES,SS,F&G,L1020,Trendsetter,1986,1997,ABS,5400,5400,30000,2Q/14,Australia,20000,7,118,370,255,29,80,6736,28x38,-,"2x7,000",3.56,ORQ,3000,3.75,10000,16.5,83,83,-,-,33,2000,Dreco,40x40,3000,C-E,1.75,49.5,Varco,AR3000,Varco,TDS-4S,Western,Gear,600,P,M-H,Y,Y,-,-,-,3,National,Oilwell,A1700,4000,1650,6050,29760,N,4,1,1,1500,16,W.G.,21,E,21,60,T/B,Shaffer,5400,15,3,3.38,1,4,Cameron,2,Cameron,15.6x12.5,485,Vetco,HDH4,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,,,,
