NUMBER,VESSEL DESIGN,CONSTRUCTION DATE,UPGRADE DATE,CLASSIFICATION,MAXIMUM WATER,DEPTH EQUIPPED,MAXIMUM WATER.1,DEPTH RATING,MAXIMUM DRILLING DEPTH,CURRENT CONTRACT,AREA OF OPERATION,TOTAL VESSEL POWER,MAX. VESSEL SPEED,QUARTERS CAPACITY,LENGTH,TRANSIT DRAFT,OPERATING DRAFT,WIDTH,MAX. VARIABLE LOAD,MOONPOOL SIZE,D.P. RATING (if applicable),THRUSTERS,SIZE of CHAIN,CHAIN GRADE,LENGTH OF CHAIN,WIRE ROPE Diameter,LENGTH of WIRE ROPE,ANCHOR SIZE,PEDESTAL CRANE 1,PEDESTAL CRANE 2,PEDESTAL CRANE 3,PEDESTAL CRANE 4,RISER HANDLING CRANE,DERRICK RATING,DERRICK MANUFACTURER,DERRICK FOOTPRINT,DRAWWORKS,drawworks,drill line size,rotary table size,IRON ROUGHNECK,top drive,HEAVE COMPENSATOR,heave compensAtION,CAPACITY,COMPENSATION TYPE,(ACTIVE/PASSIVE),PIPE RACKING SYSTEM,DRILLING,INSTRUMENTATION,5-in. DRILLPIPE,5.5-in. DRILLPIPE,6.625-in. DRILLPIPE,3.5-in. DRILLPIPE,MUD PUMPS,MUD PUMPS.1,mud pit active volume,mud pit reserve volume,Unnamed: 59,bulk storage capacity,DEDICATED COMPLETION,FLUID VOLUME,Gumbo Buster,shale shakers,desander,desilter,riser tensioner,(Total capacity ),RISER TENSIONERS,RISER TENSIONERS.1,DIVERTER SIZE,CLASS of RISER,RISER SIZE,RISER JOINT LENGTH,FLEX JOINT (Top/,Bottom or both ),RISER MANUFACTURER,RISER STORAGE MAIN,DECK or “IN HOLD”,BOP OPERATING PRESSURE,C&K LINE SIZE,RAM BOP’s,RAM BOP’s.1,ANNULAR BOP’s,ANNULAR BOP’s.1,BOP stack envelope,dimensions,Total BOP stack Wt.,(including LMRP),WELLHEAD CONNECTOR,BOP CONTROL SYSTEM,BOP CONTROL SYSTEM.1,"SHEAR 6.635"" drillpipe?",RISER HANG-OFF CAPACITY,AUX. LINE SIZE,RISER & RISER TENSIONER DATA BOP & BOP CONTROL DATA,yr. yr. society ft,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
45,MÆRSK,DELIVERER,SS,KFELS,MSC,GUSTO,DSS21,2010,-,ABS,10000,10000,"30,000+",3Q/15,West,Africa,51500,8,180,384,258,32,67,14900,100x30,DP-2,"8x5,365",3.5,K4,2000,,,,165,66,13,-,47,"2,500/1,500",NOV,40x72,"6,000/4,500",Wirth,1.85/1.75,60.5,NOV,NOV,HPS-03,NOV,HPS-04,"1,000/750",A,NOV,(DUAL),NOV,5000,15000,20000,-,4,Wirth,2200HP-7500psi,9755,10355,4860,48000,Y,8,0,n,4200,6,NOV,N-line,60.5,RP16Q,21,75,Both,Aker,9600,15,4,"4,5",5,6,Hydril,-,Hydril,16,6,x,19,8,732,Vetco,SHD,EXF,MUX,Hydril,Y,2250,,,,,,,,,,,,,,,,
45,MÆRSK,DEVELOPER,SS,KFELS,MSC,GUSTO,DSS21,2009,-,ABS,10000,10000,"30,000+",4Q/15,US,GoM,51500,8,180,384,258,32,67,14900,100x30,DP-2,"8x5,365",3.5,K4,2000,,,,165,66,13,-,47,"2,500/1,500",NOV,40x72,"6,000/4,500",Wirth,1.85/1.75,60.5,NOV,NOV,HPS-03,NOV,HPS-04,"1,000/750",A,NOV,(DUAL),NOV,5000,15000,20000,-,4,Wirth,2200HP-7500psi,9755,10355,4860,48000,Y,8,0,y,4200,6,NOV,N-line,60.5,RP16Q,21,75,Both,Aker,9600,15,4,"4,5",5,6,Hydril,2,Hydril,16,6,x,19,8,732,Vetco,SHD,EXF,MUX,Hydril,Y,2250,,,,,,,,,,,,,,,,
45,MAERSK,DISCOVERER,SS,KFELS,MSC,GUSTO,DSS21,2009,-,ABS,10000,10000,"30,000+",3Q/16,Egypt,51500,8,180,384,258,32,67,14900,100x30,DP-2,"8x5,365",3.5,K4,2000,,,,165,66,13,-,47,"2,500/1,500",NOV,40x72,"6,000/4,500",Wirth,1.85/1.75,60.5,NOV,NOV,HPS-03,NOV,HPS-04,"1,000/750",A,NOV,(DUAL),NOV,5000,15000,20000,-,4,Wirth,2200HP-7500psi,9755,10355,4860,48000,Y,8,0,n,4200,6,NOV,N-line,60.5,RP16Q,21,75,Both,Aker,9600,15,4,"4,5",5,6,Hydril,-,Hydril,16,6,x,19,8,732,Vetco,SHD,EXF,MUX,Hydril,Y,2250,,,,,,,,,,,,,,,,,
46,MÆRSK,VALIANT,DS,SAMSUNG,96K,2013,-,ABS,12000,12000,40000,3Q/17,US,GOM,56000,-,230,748,138,28,39,20000,84x41,DP-3,"6x9,380",-,-,-,-,-,-,85,85,85,85,-,2500,-,-,9000,-,-,-,-,-,-,2500,A,-,-,-,-,-,-,5,Wirth,2200HP-7500psi,6030,5980,-,32000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,6,-,2,-,-,-,-,MUX,-,-,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MÆRSK,VENTURER,DS,SAMSUNG,96K,2014,-,ABS,12000,12000,40000,-,-,56000,-,230,748,138,28,39,20000,84x41,DP-3,-,-,-,-,-,-,-,85,85,85,85,-,2500,-,-,9000,-,-,-,-,-,-,2500,A,-,-,-,-,-,-,5,Wirth,2200HP-7500psi,6030,5980,-,32000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,6,-,2,-,-,-,-,MUX,-,-,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MÆRSK,VIKING,DS,SAMSUNG,96K,2013,-,ABS,12000,12000,40000,2Q/17,GoM,56000,-,230,748,138,28,39,20000,84x41,DP-3,"6x7,400",-,-,-,-,-,-,85,85,85,85,-,2500,-,-,9000,-,-,-,-,-,-,2500,A,-,-,-,-,-,-,5,Wirth,2200HP-7500psi,6030,5980,-,32000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,6,-,2,-,-,-,-,MUX,-,-,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,NOBLE,BOB,DOUGLAS,DS,Gusto,P-10000,2013,-,DNV,10000,12000,40000,1Q/17,US,GOM,64368,11,210,759,118,36,36,22046,32.8,x,113.2,DP-3,6,x,6700,,,1080,3.75,,10,100,100,100,165,2x250+,2x35,"2,500/1,500",NOV,60x80,"9000/4,500",NOV,2-1/8/1-3/4,75.5/60.5,2,x,NOV,ST-160,NOV,TDX,1250,Shaffer,1000,A/P,Hydraracker,IV,ER,NOV,10000,0,38000,0,4,NOV,14-P-220,5670,8900,13600,28800,Y,6,1,1,3500,14,NOV,75.5,FT-H,21,75,T/B,Shaffer,12000,15,4.5,2.32/4,2019-02-01 00:00:00,6,Shaffer,2,Shaffer,18x20,886,Vetco,H4,&,Dril-Quip,MUX,Shaffer,Y,2000,,,,,,,,,,,,
50,NOBLE,BULLY,I,DS,"Gusto,",MSC,Bully,PRD,2008,2011,DNV,8250,8250,40000,1Q/17,US,GOM,43200,7.5,168,615,128,26.25,32.5,12300,64x41,DP-2,"6x5,600",,,,,,,110,110,,,44,2000,Huisman,18x26,6600,Huisman,2,60.5,2x,Aker,Torq,Master,Aker,DDM,1000AC,Huisman,2000,A/P,Huis-Drill,10000,Huisman,-,5310,20115,5310,4,Wirth,TPK,2002-07-01 00:00:00,x,14,/,2200,7420,9000,3300,22946,Y,6,1,1,3300,6,Huisman/Rexroth,60,Clip,21,90,B,Aker,9720,15,4,2,4,6,Cameron,2,Cameron,16x20,445,Cameron,EVO,MUX,Oceaneering,Y,2000,,,,,,,,,,,,,
51,NOBLE,BULLY,II,DS,"Gusto,",MSC,Bully,PRD,2011,-,DNV,8250,8250,40000,2Q/22,Brazil,43200,10,156,615,128,32.5,32.5,12300,64x41,DP-2,"6x5,600",-,-,-,-,-,-,110,110,-,-,44,"2,000/1,000",Huisman,18x26,"6,600/",3300,Huisman,2,60.5,2x,Aker,"DRN200,",1x,Aker,BC57,Aker,DDM,1000AC2,Huisman,2000,A/P,Huisman,Huisman,-,20000,10000,10000,4,Wirth,TPK,7500,6231,7491,6496,28088,Y,6,1,1,3300,6,Huisman/Rexroth,60.5,Clip,21,90,T,Aker,9720,15,3,2,4,6,Cameron,2,Cameron,16x20,445,Cameron,MUX,Oceaneering,Y,2000,,,,,,,,,,,,,,,,,
52,NOBLE,DANNY,ADKINS,SS,Bingo,9000,1999,2009,ABS,12000,12000,37000,3Q/14,US,GOM,51360,8,200,344,277,39.5,82,9000,103x23,DP-3,"8x5,000",-,-,-,-,-,-,120,120,-,-,40,2500,Dreco,50x50,6900,National,2,60.5,2x,Varco,AR5000,Varco,TDX-1250,Shaffer,"1,000/2,000",P,Varco-PRS-6i,Cyberbase,10000,10000,15000,-,4,National,240,Hex;,2400,hp,3700,9100,7100,30000,Y,6,1,1,2500,10,Shaffer,60.5,-,22,75,T/B,Noble,12000,15,4.5,4.5,5,6,Shaffer,2,Shaffer,15x20,700,DRIL-QUIP,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,,
53,NOBLE,DAVE,BEARD,SS,Modified,Enhanced,Pacesetter,1986,2008,ABS,10000,10000,35000,1Q/16,Brazil,49400,8,200,366,217,19,55,6500,95x25,DP-2,"8x5,000",-,-,-,3.5,3500,13,100,100,-,-,45,2000,NOV,40x40,6900,NOV,2,60.5,Varco,AR5000,NOV,PS-2-1000,Shaffer,1000,P,Varco-PRS-4i,Cyberbase,6000,16K/5-7/8,13000,-,4,National,240,Hex;,2540,hp,2100,7900,1750,25200,Y,6,1,1,2500,10,Shaffer,60,Hybrid,22,75,T/B,Noble,10000,15,4.5,4.5,5,6,Shaffer,2,Shaffer,15x19,700,Vetco,H4,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,,
54,NOBLE,DON,TAYLOR,DS,Gusto,P-10000,2013,-,DNV,10000,12000,40000,1Q/19,US,GOM,64368,11,210,752,118,36,36,22046,32.8,x,113.2,DP-3,6,x,6700,,,1080,3.75,,10,100,100,100,165,2x250+,2x35,"2,500/1,500",NOV,60x80,"9000/4,500",NOV,2-1/8/1-3/4,75.5/60.5,2,x,NOV,ST-160,NOV,TDX,1250,Shaffer,1000,A/P,Hydraracker,IV,ER,NOV,-,-,15000,-,4,NOV,14-P-220,5670,8900,13600,28800,Y,6,1,1,3500,14,NOV,75.5,FT-H,21,75,T/B,Shaffer,12000,15,4.5,2.32/4,2019-02-01 00:00:00,6,Shaffer,2,Shaffer,18x20,886,Vetco,H4,&,Dril-Quip,MUX,Shaffer,Y,2200,,,,,,,,,,,,
55,NOBLE,GLOBETROTTER,I,DS,Globetrotter,2010,-,ABS,10000,10000,40000,3Q/22,US,GOM,54284,12,180,620,105,39,39.4,20720,89.2,x,36.7,DP-3,"6x5,000",3.18,3,90.22,,,16,110,88,,,88,2000,Huisman,26x24,"6,170/3,080",Huisman,2,60.5/60.5,2x,NOV,AR5000,NOV-TDS-1000A,Huisman,2400,A/P,Huisman,PRS,Huisman,-,-,20925,-,4,NOV,14-P-220,6000,9000,10000,34604,Y,6,1,1,3600,8,Huisman,60.5/21.7,FT-H,21,75,T/B,Shaffer,10000,15,4.5,2.32/5,4,6,Shaffer,2,Shaffer,15x19,711,Vetco,HDH4,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,,,
56,NOBLE,GLOBETROTTER,II,DS,Globetrotter,2011,-,ABS,10000,10000,40000,3Q/23,W,Africa,-,12,180,620,105,39,39.4,20720,89.2,x,36.7,DP-3,"6x5,000",3.18,3,90.22,,,16,110,88,,,88,2000,Huisman,26x24,"6,170/3,080",Huisman,2,60.5/60.5,2x,NOV,AR5000,NOV-TDS-1000A,Huisman,2400,A/P,Huisman,PRS,Huisman,-,-,20925,-,4,NOV,14-P-220,6000,9000,10000,34604,Y,6,1,1,3600,8,Huisman,60.5/21.7,FT-H,21,75,T/B,Shaffer,10000,15,4.5,2.32/5,4,6,Shaffer,2,Shaffer,15x19,711,Vetco,HDH4,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,,,
57,NOBLE,JIM,DAY,SS,Bingo,9000,1999,2010,ABS,12000,12000,37000,1Q/16,US,GoM,51360,8,200,344,277,39.5,82,9000,103x23,DP-3,"8x5,000",-,-,-,-,-,-,120,120,-,-,40,2500,Dreco,50x50,6900,National,2,60.5,2x,Varco,AR5000,Varco,TDX-1250,Shaffer,"1,000/2,000",P,Varco-PRS-6i,Cyberbase,10000,10000,15000,-,4,National,240,Hex;,2400,hp,3700,9100,7100,30000,Y,6,1,1,2500,10,Shaffer,60.5,Hybrid,22,75,T/B,Noble,12000,15,4.5,4.5,5,6,Shaffer,2,Shaffer,15x20,700,DRIL-QUIP,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,,
-,NOBLE,PAUL,WOLFF,-,EVA-4000,1982,2006,ABS,9200,9200,23000,-,Singapore,43000,6,125,341.6,363.4,15,79,5500,31x20,II-Ceg90,"6x5,000",-,-,-,3,1300,15,65,65,-,-,2x20,1500,Dreco,40x40,3000,Oilwell,1.75,60.5,Varco,AR3200C,Varco-TDS-4S,Shaffer,800,P,Varco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,NOBLE,SAM,CROFT,DS,Gusto,P-10000,2014,-,DNV,10000,12000,40000,3Q/17,US,GOM,64368,11,210,759,118,36,36,22046,32.8,x,113.2,DP-3,6,x,6700,,,1080,3.75,,10,100,100,100,165,2x250+,2x35,"2,500/1,500",NOV,60x80,"9000/4,500",NOV,2-1/8/1-3/4,75.5/60.5,2,x,NOV,ST-160,NOV,TDX,1250,Shaffer,1000,A/P,Hydraracker,IV,ER,NOV,-,-,10000,-,4,NOV,14-P-220,5670,8900,13600,28800,Y,6,1,1,3500,14,NOV,75.5,FT-H,21,75,T/B,Shaffer,12000,15,4.5,2.32/4,2019-02-01 00:00:00,6,Shaffer,2,Shaffer,18x20,886,Vetco,H4,&,Dril-Quip,MUX,Shaffer,Y,2000,,,,,,,,,,,,
-,DPDS1,(prev.,NOBLE,PHOENIX),SS,IHC,Gusto,BV,Pelican,1979,2009,DNV,5000,5000,25000,2Q/15,Brazil,36000,10,120,448.81,105.28,27.2,27.2,9904,23.6,x,27.1,DP-2,"5x1,750","2x,2000",-,-,-,-,-,-,60,60,-,-,40,1500,M-H,40x40,6000,TTS,Sense,1.75,49.5,M-H,MH,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DPDS2,(prev.,NOBLE,LEO,SEGERIUS),DS,"Gusto,",Mod.,Pelican,1981,1997,ABS,5500,5500,23000,1Q/17,Brazil,35000,10,150,516,111,24,24,12150,27x23,DP-2,"7x3,300",2.25,3,1900,2.75,4200,6.6,80,80,-,-,40,1500,Aker,44x36,3000,National,1.5,49.5,Varco,AR3200,Va,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DPDS3,(prev.,NOBLE,ROGER,EASON),DS,"Convn,",Neddrill,1977,1998,BV,7200,7200,23000,3Q/17,Brazil,32000,9,105,541,90,30,30,11163,22.5x26,II-Ceg803,"8x2,100,","1x7,500",-,-,-,-,-,-,50,30,30,-,2x11,1400,Lee,C.,Moore,40x40,3000,Oilwell,1.5,49.5,Varco,AR3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DPDS4,(prev.,NOBLE,MURAVLENKO),DS,"Gusto,",Mod.,Pelican,1982,1997,BV,4900,4900,23000,-,US,GOM,17200,12,116,490,79,24,24,7200,27x23,II-Ceg903,"2x3,500,","5x1,750",-,-,-,-,-,-,40,25,-,-,2x10,1000,Dreco,44x36,3000,Oilwell,1.5,49.5,M-H,M-H,DDM,650,Shaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,EIRIK,RAUDE,SS,Bingo,9000,2002,-,DNV,10000,10000,-,1Q/15,,10200,7,140,391,279,39.4,78,6624,23x47.5,DP-3,6,-,-,-,-,-,-,75,75,-,-,-,2000,Hydralift,40x40,4000,Emsco,-,60.5,Hydralift,Hydralift,HPS,1000,AC,Hydralift,"2,000/1,000",A/P,Hydraracker,-,-,-,-,-,3,Emsco,FC-2200,-,-,-,-,-,-,-,-,200,8,Hydralift,-,-,21,-,-,Vetco,-,15,4.5,-,-,4,Cameron,2,Cameron,-,-,Vetco,H4,MUX,Cameron,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
-,LEIV,EIRIKSSON,SS,Bingo,9000,2002,-,DNV,10000,10000,-,2Q/17,,10200,7,140,391,279,39.4,78,6624,23x47.5,DP-3,6,-,-,-,-,-,-,75,75,-,-,-,2000,Hydralift,40x40,4000,Emsco,-,60.5,Hydralift,Hydralift,HPS,1000,AC,Hydralift,"2,000/1,000",A/P,Hydraracker,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,OCEAN,RIG,ATHENA,DS,Saipem,10000,2013,-,ABS,10000,12000,"30,000+",1Q/17,-,59500,12,215,748,138,27.9,39.4,20000,94,x,41,DP-3,"6x7,400",-,-,-,-,-,-,93.72,93.72,93.72,93.72,-,2000,NOV,80x60,5750,NOV,2,60.5,2x,Hydratong,MPT,NOV,Top,Drive,HPS-03,1000,AC,NOV,CMC,+,AHC,1000,A+P,2xNOV,Hydra,Racker,Cyberbase,10000,25000,10000,-,4,NOV,14P220,6698,9290,6290,31924,-,7,1,1,3200,8,dual,NOV,60.5,H,21,90,B,NOV-Shaffer,10000,15,4.5,4,and,2.333,1,+,2,6,NOV-Shaffer,2,NOV-Shaffer,18x21,825,Vetco,SHD,H4,MUX,NOV-Shaffer,Y,2000,,,,,,,
61,OCEAN,RIG,CORCOVADO,DS,Saipem,10000,2011,-,ABS,10000,10000,35000,2Q/15,,-,12,217,748,-,-,-,20000,84x41,DP-3,6,-,-,-,-,-,-,85,85,85,85,-,-,-,-,-,NOV,-,60.5,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,RIG,MYKONOS,DS,Saipem,10000,2011,-,ABS,10000,10000,35000,2Q/15,,-,12,217,748,-,-,-,20000,84x41,DP-3,6,-,-,-,-,-,-,85,85,85,85,-,-,-,-,-,NOV,-,60.5,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,RIG,MYLOS,DS,Saipem,10000,2013,-,DNV,10000,12000,"30,000+",3Q/16,-,59500,12,215,748,138,27.9,39.4,20000,94,x,41,DP-3,"6x7,400",-,-,-,-,-,-,93.72,93.72,93.72,93.72,-,2000,NOV,80x60,5750,NOV,2,60.5,2x,Hydratong,MPT,NOV,Top,Drive,HPS-03,1000,AC,NOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,OCEAN,RIG,OLYMPIA,DS,Saipem,10000,2011,-,ABS,10000,10000,35000,3Q/17,,-,12,217,748,138,-,-,20000,84x41,DP-3,6,-,-,-,-,-,-,85,85,85,85,-,-,-,-,5750,NOV,-,60.5,NOV,Hydratong,NOV,HPS-1000,NOV,CMC,+,AHC,1000,A+P,2xNOV,Hydra,Racker,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,RIG,POSEIDEN,DS,Saipem,10000,2011,-,ABS,10000,10000,35000,2Q/18,,-,12,217,748,-,-,-,20000,84x41,DP-3,6,-,-,-,-,-,-,85,85,85,85,-,-,-,-,-,NOV,-,60.5,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,OCEAN,RIG,SKYROS,DS,Saipem,10000,2013,-,DNV,10000,10000,35000,1Q/15,,59500,12,215,748,138,27.9,39.4,20000,94,x,41,DP-3,"6x7,400",-,-,-,-,-,-,93.72,93.72,93.72,93.72,-,2000,NOV,80x60,5750,NOV,2,60.5,2x,Hydratong,MPT,NOV,Top,Drive,HPS-03,1000,AC,NOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,DEEPSEA,ATLANTIC,SS,GVA,7500,2009,-,NMD,9840,9840,37500,3Q/15,North,Sea,-,-,156,108,78,32.6,75.5,7000,-,DP-3,8,-,-,-,-,-,-,100,85,-,-,-,-,NOV,Dual,Derrick,-,4600,NOV,-,60.5/49.5,Hydratong,MPT,NOV,HPS-1000,-,-,-,Hydraracker,HR-IV,-,-,-,-,-,4,NOV,14P220,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
-,DEEPSEA,METRO,I,DS,Gusto,P-10000,2011,-,DNV,10000,12000,40000,4Q/14,W,Africa,-,-,210,753,118,-,36,-,-,DP-3,-,-,-,-,-,-,-,-,-,-,-,-,-,NOV,Dual,Derrick,-,6900,NOV,-,-,-,NOV,TDS-1000;TDS-85A,-,-,-,NOV,PRS-5,-,-,-,-,-,4,NOV,14P220,-,-,-,-,-,8,-,-,-,16,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,DEEPSEA,METRO,II,DS,Gusto,P-10000,2011,-,DNV,10000,12000,40000,2Q/15,Brazil,-,-,210,753,118,-,36,-,-,DP-3,-,-,-,-,-,-,-,-,-,-,-,-,-,NOV,Dual,Derrick,-,6900,NOV,-,-,-,NOV,TDS-1000;TDS-85A,-,-,-,NOV,PRS-5,-,-,-,-,-,4,NOV,14P220,-,-,-,-,-,8,-,-,-,16,-,-,-,-,-,-,-,-,15,-,-,-,-,Hydril,-,-,-,-,-,MUX,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
65,DEEPSEA,STAVANGER,SS,GVA,7500,2010,-,NMD,9840,9840,37500,3Q/15,W,Africa,-,-,156,108,78,32.6,75.5,7000,-,DP-3,8,-,-,-,-,-,-,100,85,-,-,-,-,NOV,Dual,Derrick,-,4600,NOV,-,60.5/49.5,Hydratong,MPT,NOV,HPS-1000,-,-,-,Hydraracker,HR-IV,-,-,-,-,-,4,NOV,14P220,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,6,Shaffer,-,-,-,-,-,MUX,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
-,ISLAND,INNOVATOR,SS,GM,4000,2013,-,DNV,4000,4000,-,1Q/15,North,Sea,-,-,120,-,-,-,-,4500,-,DP-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOV,-,-,-,NOV,HPS-650,-,-,-,-,-,-,-,-,-,3,NOV,14P220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,5,Cameron,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PACIFIC,BORA,DS,Samsung,10000,2010,-,ABS,10000,10000,37500,3Q/14,Nigeria,60000,12,200,748,138,27.9,39.4,22051,94,x,41,DP-3,6,x,7375,-,-,-,-,-,-,93.72,93.72,93.72,93.72,-,2000,NOV,80x60,5750,NOV,2,60.5,2x,Hydratong,MPT,NOV,Top,Drive,HPS-03,1000,AC,NOV,CMC,+,AHC,1000,A+P,2,x,NOV,Hydra,Racker,Cyberbase,10000,25000,10000,-,4,NOV,14P220,6698,9290,6290,31924,-,7,1,1,3200,8,dual,NOV,60.5,H,21,90,B,NOV-Shaffer,10000,15,4.5,4,and,2.333,1,+,2,6,NOV-Shaffer,2,NOV-Shaffer,18x21,825,Vetco,SHD,H4,MUX,NOV-Shaffer,Y,2000,,,,
67,PACIFIC,KHAMSIN,DS,Samsung,12000,2013,-,DNV,10000,12000,40000,1Q/17,Nigeria,65000,12,200,748,138,27.9,39.4,22051,84,x,41,DP-3,6,x,6031,-,-,-,-,-,-,85,85,85,85,9,2000,NOV,80x60,6900,NOV,2,75.5,/,60.5,2x,Hydratong,MPT,2,x,NOV,TDX,1250,NOV,CMC,+,AHC,-,A+P,2,x,NOV,Hydra,Racker,-,10000,-,10000,-,4,NOV,14P220,6600,12400,6200,31924,-,7,1,1,3600,8,-,75.5,H,21,90,B,NOV-Shaffer,11790,15,4.5,4,and,2.333,1,+,2,6,NOV-Shaffer,2,NOV-Shaffer,18x21,825,Vetco,SHD,H4,MUX,NOV-Shaffer,Y,2000,,,,
68,PACIFIC,MISTRAL,DS,Samsung,12000,2011,-,ABS,10000,12000,37500,1Q/15,Brazil,60000,12,200,748,138,27.9,39.4,22051,94,x,41,DP-3,6,x,7375,-,-,-,-,-,-,93.72,93.72,93.72,93.72,-,2000,NOV,80x60,5752,NOV,2,60.5,2x,Hydratong,MPT,NOV,Top,Drive,HPS-03,1000,AC,NOV,CMC,+,AHC,1000,A+P,4,x,NOV,Hydra,Racker,Cyberbase,10000,25000,10000,-,4,NOV,14P220,6698,9290,6290,31924,-,7,1,1,3200,10,dual,NOV,60.5,H,21,90,B,NOV-Shaffer,12000,15,4.5,4,and,2.333,1,+,2,6,NOV-Shaffer,2,NOV-Shaffer,18x21,825,Vetco,SHD,H4,MUX,NOV-Shaffer,Y,2000,,,,
