NUMBER,VESSEL DESIGN,CONSTRUCTION DATE,UPGRADE DATE,CLASSIFICATION,MAXIMUM WATER,DEPTH EQUIPPED,MAXIMUM WATER.1,DEPTH RATING,MAXIMUM DRILLING DEPTH,CURRENT CONTRACT,AREA OF OPERATION,TOTAL VESSEL POWER,MAX. VESSEL SPEED,QUARTERS CAPACITY,LENGTH,TRANSIT DRAFT,OPERATING DRAFT,WIDTH,MAX. VARIABLE LOAD,MOONPOOL SIZE,D.P. RATING (if applicable),THRUSTERS,SIZE of CHAIN,CHAIN GRADE,LENGTH OF CHAIN,WIRE ROPE Diameter,LENGTH of WIRE ROPE,ANCHOR SIZE,PEDESTAL CRANE 1,PEDESTAL CRANE 2,PEDESTAL CRANE 3,PEDESTAL CRANE 4,RISER HANDLING CRANE,DERRICK RATING,DERRICK MANUFACTURER,DERRICK FOOTPRINT,DRAWWORKS,drawworks,drill line size,rotary table size,IRON ROUGHNECK,top drive,HEAVE COMPENSATOR,heave compensAtION,CAPACITY,COMPENSATION TYPE,(ACTIVE/PASSIVE),PIPE RACKING SYSTEM,DRILLING,INSTRUMENTATION,5-in. DRILLPIPE,5.5-in. DRILLPIPE,6.625-in. DRILLPIPE,3.5-in. DRILLPIPE,MUD PUMPS,MUD PUMPS.1,mud pit active volume,mud pit reserve volume,Unnamed: 59,bulk storage capacity,DEDICATED COMPLETION,FLUID VOLUME,Gumbo Buster,shale shakers,desander,desilter,riser tensioner,(Total capacity ),RISER TENSIONERS,RISER TENSIONERS.1,DIVERTER SIZE,CLASS of RISER,RISER SIZE,RISER JOINT LENGTH,FLEX JOINT (Top/,Bottom or both ),RISER MANUFACTURER,RISER STORAGE MAIN,DECK or “IN HOLD”,BOP OPERATING PRESSURE,C&K LINE SIZE,RAM BOP’s,RAM BOP’s.1,ANNULAR BOP’s,ANNULAR BOP’s.1,BOP stack envelope,dimensions,Total BOP stack Wt.,(including LMRP),WELLHEAD CONNECTOR,BOP CONTROL SYSTEM,BOP CONTROL SYSTEM.1,"SHEAR 6.635"" drillpipe?",RISER HANG-OFF CAPACITY,AUX. LINE SIZE,RISER & RISER TENSIONER DATA BOP & BOP CONTROL DATA,yr. yr. society ft,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
90,SEVAN,DRILLER,SS,Sevan,650,2009,-,-,12500,12500,40000,2Q/16,Brazil,-,2019-07-09 00:00:00,150,279,246,-,-,-,-,-,"8x5,100",-,-,-,-,-,-,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,18000,-,-,-,-,3200,-,DAT,-,-,-,-,-,-,-,15,-,-,-,6,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,SEVAN,LOUISIANA,SS,Sevan,650,2013,-,-,10000,10000,-,2Q/17,GoM,56300,8,150,-,-,-,-,-,-,-,"8x5,100",-,-,-,-,-,-,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,18000,-,-,-,-,3200,-,DAT,-,-,-,-,-,-,-,15,-,-,-,6,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,STENA,CARRON,DS,Stena/Samsung,2008,-,DNV,7500,10000,35000,4Q/16,International,60000,12,180,748,137.8,26.25,39.4,22046,84x41,DP-3,"6x5,500",-,-,-,-,-,14,94,94,94,-,44,2000,NOV-HydraLift,-,Hoist,Cyl,Rig,NOV-HydraLift,-,60.5/,49.5,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,"1,000/661",A/P,NOV-HydraLift,"Hitec,",MDT,Nil,Nil,15000,Nil,4,NOV,FC2200,5346,15096,3145,29664,1,5,1,1,3600,6,NOV-HydraLift,60.5,F,21,80,Both,Cameron,10000,15,4.5,4.5/4.5,5,6,Cameron,2,Cameron,16.7x13.1,782,SHDH4,MUX,Cameron,Y,2000,,,,,,,,,,,,,,,,,,,,,,,,,,
-,STENA,DRILLMAX,DS,Stena/Samsung,2007,-,DNV,7500,10000,35000,2Q/16,International,56300,12,180,748,137.8,26.25,39.4,22046,84x41,DP-3,"6x5,500",-,-,-,-,-,14,94,94,94,-,44,2000,NOV-HydraLift,-,Hoist,Cyl,Rig,NOV-HydraLift,-,60.5/,49.5,NOV-HydraLift,NOV-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,STENA,FORTH,DS,Stena/Samsung,2009,-,DNV,7500,10000,35000,4Q/15,International,60000,12,180,748,137.8,26.25,39.4,22046,84x41,DP-3,"6x5,500",-,-,-,-,-,14,94,94,94,-,44,2000,NOV-HydraLift,-,Hoist,Cyl,Rig,NOV-HydraLift,-,60.5/,49.6,NOV-HydraLift,NOV-Hydr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,STENA,ICEMAX,DS,Stena/Samsung,2012,-,DNV,7500,10000,35000,2Q/17,International,60000,12,180,748,137.8,26.25,39.4,16535,84x41,DP-3,"6x5,500",-,-,-,-,-,14,94,94,94,94,44,2000,NOV-HydraLift,-,Hoist,Cyl,Rig,NOV-HydraLift,-,60.5/,49.7,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,"1,000/661",A/P,NOV-HydraLift,"Hitec,",MDT,Nil,Nil,15000,Nil,4,NOV,FC2200,5346,15096,3145,29664,1,5,1,1,3600,6,NOV-HydraLift,60.5,F,21,80,Both,Cameron,10000,15,4.5,4.5/4.5,5,6,Cameron,2,Cameron,16.7x13.1,762,SHDH4,MUX,Cameron,Y,2000,,,,,,,,,,,,,,,,,,,,,,,,,,
-,CAJUN,EXPRESS,SS,SFXpress,2000,2001,-,ABS,8500,8500,35000,4Q/18,Morocco/Senegal,41230,10,140,349,226,29.5,65.5,8800,144x46,DP-3,"4x9,400",-,-,-,3.5,6000,15,71,71,-,-,30,2057,J.Paris,167x39,6600,N-O,Hitec,2,60.5,MOS,CanRig,-,1500,A,Varco-PRS-5R,(2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,DEEPWATER,ASGARD,DS,DSME,12000,Ultradeepwater,DS,2014,-,DNV,10000,12000,40000,Q2,2017,Indonesia,56300,12.5,200,781,138,29.5,39,25353,82x41.3,DP-3,"6x7,372",-,-,-,-,-,-,181,110,110,110,-,5000,Aker,MH,RamRig,"9,000/6,000",Aker,MH,2,75.5/60.5,Aker,MH,BC,561,M-H,MDDM,1250-AC,-2,Aker,MH,CMC,"1,500/1,000",A,Aker,MH,Racking,-,-,-,-,-,4,Aker,MH,Wirth,TPK-7.1/2,8000,12000,5031,28251,-,8,-,-,4000,8,Aker,MH,78.5,H,21,75,-,Cameron,10000,15,-,-,-,7,Cameron,2,Cameron,-,-,Cameron,EVO,MUX,Cameron,Y,-,,,,,,,,,,
95,DEEPWATER,CHAMPION,DS,Transocean/MSC,Gusto,P10000,2011,-,DNV,10000,12000,40000,4Q/19,GoM,60346,14,210,752,118,30,36,23888,73.5x42,DP-2,"6x6,705",-,-,-,-,-,-,181,110,93.5,93.5,-,4000,NOV,80x60,"6.900/5,750",NOV,2,75.5/60.7,Aker,MH,BC,561,NOV,TDS-1000,AC,/,NOV,TDS-8S,AC,NOV,(AHD),"2,260/1,700",A,NOV,PRS-5,-2,NOV,-,-,Y,-,4,National,Oilwell,14P-220,10956,8.975,8440,32000,-,8,1,1,3500,14,NOV,72,G,21,75,-,Vetco,10000,15,4.5,4,1,6,Hydril,2,Hydril,-,-,Vetco,SHDH4,MUX,Hydril,Y,-,,,,,,,,,,,,,,
-,DEEPWATER,DISCOVERY,DS,RBF/Samsung,2000,-,ABS,10000,10000,30000,3Q/18,Nigeria,42900,12.2,140,746.5,137.8,27.9,39.4,24251,52x40,DPS,3,"6x7,375",-,-,-,-,-,44.1,88.2,88.2,88.2,88.2,-,1200,Dreco,95x75,5000,C-E,2,60.5,Varco,AR3200C,Varco,TDS-4S,Shaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DEEPWATER,EXPEDITION,DS,Rauma,Repola,Arctic,1999,-,DNV,8500,8500,30000,4Q/18,Saudi,Arabia,26000,14,130,564,93,26,26,8500,26x28,Autr.,DP.,"6x3,750",3,2,"1,080/990",-,-,2x6.0,80,80,40,-,30,2600,Enfab,55x85,5000,C-E,2,49.5,Varco,AR3200C,Varco,TDS-4S,Sha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DEEPWATER,FRONTIER,DS,Conoco/Reading,&,Bates,1999,-,ABS,10000,10000,30000,3Q/18,Australia,46797,10,160,726,138,28,43,22928,42x41,DP-3,"6x5,360",-,-,-,-,-,-,50,50,50,85,35,2000,Dreco,48x40,6600,Dreco/Hitec,2,60.5,Varco,AR3200,Varco,TDS-8S,Hitec,Acti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DEEPWATER,INVICTUS,DS,DSME,12000,Ultradeepwater,DS,2014,-,DNV,10000,12000,40000,Q2,2017,GoM,56300,12.5,200,781,138,29.5,39,25353,82x41.3,DP-3,"6x7,372",-,-,-,-,-,-,181,110,110,110,-,5000,Aker,MH,RamRig,"9,000/6,000",Aker,MH,2,75.5/60.6,Aker,MH,BC,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DEEPWATER,MILLENNIUM,DS,Conoco/Reading,&,Bates,1999,-,ABS,10000,10000,30000,2Q/19,Australia,46797,10,130,726,138,28,43,22928,42x41,DP-3,"6x5,360",-,-,-,-,-,-,55,55,55,94,35,2000,Dreco,48x40,6600,Dreco/Hitec,2,60.5,Varco,AR3200,Varco,TDS-8S,Hitec,Ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DEEPWATER,NAVIGATOR,DS,Earl,&,Wright,Sedco,400,1971,2000,DNV,7200,7200,25000,1Q/20,Brazil,24000,6,127,550.3,86.5,25,25,12304,29x29.3,NMD-2,"11x800,","4x2,000",2.25,K3,1900,-,-,2x6.2,79,24,79,-,34,1500,Dreco,40x40,3000,Oilwell,1.75,60.5,Varco,AR3200C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DEEPWATER,PATHFINDER,DS,Conoco/Reading,&,Bates,1998,-,ABS,10000,10000,30000,2Q/19,GoM,46797,10,130,726,138,28,43,22928,42x41,DP-3,"6x5,360",-,-,-,-,-,-,50,50,50,85,35,2000,Dreco,48x40,6600,Dreco/Hitec,2,60.5,Varco,AR3200,Varco,TDS-8S,Hitec,Active,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,DEVELOPMENT,DRILLER,III,SS,Keppel,Fels,MSC,DSS,51,2009,-,ABS,7500,10000,37500,4Q/20,GoM,54080,5,200,257,256,32,67,14881,136x25,DPS,2,"8x5,360",3.5,K4,1970,-,-,16.5,150,150,16.5,-,-,3000,NOV,57x52,"6,900/4,600",NOV,2,60.5/49.5,NOV,ARN-200,-2,NOV,HPS-1000,&,NOV,HPS-500,NOV,(AHD),"2,000/1,000",A,Hydralift,Br.,Crane,NOV,-,-,Y,-,4,NOV,14-P-220,19500,10000,4717,48000,-,7,-,-,3000,12,NOV,20,-,21,75,-,Kvaerner,7500,15,4,6,1,6,Hydril,2,Hydril,-,-,Vetco,SHDH4,MUX,Hydril,Y,1653,,,,,,,,,,,,,,
97,DHIRUBHAI,DEEPWATER,KG1,DS,Samsung,10000,2009,-,ABS,10000,12000,35000,3Q/18,India,56320,12,200,748,137,28,39,22046,84x41,DP-3,"6x5,500",-,-,-,-,-,-,94,94,94,94,-,4000,NOV,80x60,5750,NOV,2,60.5,dual,Hydro,racker,Hydralift,HPS-1000,2E,AC,NOV,CMC-1000-25,"2x1,000",P,Hydraracker,HR-IV,NOV,-,Y,Y,-,4,NOV,14-P-220,5500,6500,5031,31384,-,6,1,1,3200,8,Shaffer,60.5,H,21,90,T,Shaffer,10000,15,4.5,4,1,6,Shaffer,2,Shaffer,-,884,Vetco,DWHD,H4,MUX,Shaffer,Y,-,,,,,,,,,,,,,,,,,,,
97,DHIRUBHAI,DEEPWATER,KG2,DS,Samsung,10000,2010,-,ABS,12000,12000,35000,1Q/19,India,56320,12,200,748,137,28,39,22046,84x41,DP-3,"6x5,500",-,-,-,-,-,-,94,94,94,94,-,4000,NOV,80x60,5750,NOV,2,60.5,Dual,Hydro,racker,Hydralift,HPS-1000,2E,AC,NOV,CMC-1000-25,"2x1,000",P,Hydraracker,HR-IV,NOV,-,Y,Y,-,4,NOV,14-P-220,5500,6500,5031,31384,-,6,1,1,3200,8,Shaffer,60.5,H,21,90,T,Shaffer,12000,15,4.5,4,1,6,Shaffer,2,Shaffer,-,884,Vetco,DWHD,H4,MUX,Shaffer,Y,-,,,,,,,,,,,,,,,,,,,
98,DISCOVERER,AMERICAS,DS,Enhanced,Enterprise,Class,2009,-,DNV,10000,12000,40000,1Q/20,Tanzania,56320,12,200,835,125,39,42,22046,72.5x30,SDP,32,"6x7,000",-,-,-,-,-,-,110,110,110,110,-,5000,Dreco,80x80,"6,900x2",NOV,2,75.5/60.7,AR-5000,M-H,MDDM,1250-AC,-2,NOV,(AHD),"2x2,000",A,NOV,PRS-5,-2,NOV,-,-,Y,-,4,NOV,HEX-240,7890,11568,11095,32000,-,10,MC,MC,4800,6,Hydralift,60,G,21,75,T/B,Vetco,10000,15,4.5,4.5,1,6,Hydril,1,Hydril,18x15,632,Vetco,SHDH4,MUX,Hydril,Y,-,,,,,,,,,,,,,,,,,,,,
98,DISCOVERER,CLEAR,LEADER,DS,Enhanced,Enterprise,Class,2009,-,DNV,10000,12000,40000,3Q/18,GoM,56320,12,200,835,125,39,42,22046,72.5x30,SDP,32,"6x7,000",-,-,-,-,-,-,110,110,110,110,-,5000,Dreco,80x80,"6,900x2",NOV,2,75.5/60.6,AR-5000,M-H,MDDM,1250-AC,-2,NOV,(AHD),"2x2,000",A,NOV,PRS-5,-2,NOV,-,-,Y,-,5,NOV,HEX-240,7890,11568,11095,32000,Y,10,MC,MC,4800,6,Hydralift,60,G,21,75,T/B,Vetco,10000,15,4.5,4.5,1,6,Hydril,1,Hydril,18x15,632,Vetco,SHDH4,MUX,Hydril,Y,-,,,,,,,,,,,,,,,,,,,
-,DISCOVERER,DEEP,SEAS,DS,Enterprise,Class,2001,-,DNV,10000,10000,35000,4Q/20,GoM,52000,13,200,835,125,39,42,22050,80x30,DP-2,"6x7,000",-,-,-,-,-,-,66,66,66,66,-,4000,Dreco,80x80,5000,C-E,2,60.5,-2,Varco,AR3200,Varco,TDS-8SS,-2,Shaffer,"2x1,000",A,Va,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DISCOVERER,ENTERPRISE,DS,Enterprise,Class,1999,-,DNV,10000,10000,35000,4Q/18,GoM,52000,13,200,835,125,39,42,22050,80x30,DP-2,"6x7,000",-,-,-,-,-,-,66,66,66,66,-,4000,Dreco,80x80,5000,C-E,2,60.5,-2,Varco,AR3200,Varco,TDS-8SS,-2,Shaffer,"2x1,000",A,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DISCOVERER,INDIA,DS,Enhanced,Enterprise,Class,2010,-,DNV,10000,12000,40000,3Q/20,GoM,56320,12,220,835,125,39,42,22046,72.5x30,SDP,32,"6x7,000",-,-,-,-,-,-,110,110,110,110,-,5000,Dreco,80x80,"6,900x2",NOV,2,75.5/60.5,AR-5000,M-H,MDDM,1250-AC,-2,NOV,(A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DISCOVERER,INSPIRATION,DS,Enhanced,Enterprise,Class,2010,-,DNV,10000,12000,40000,1Q/19,GoM,56320,12,200,835,125,39,42,22046,72.5x30,SDP,32,"6x7,000",-,-,-,-,-,-,110,110,110,110,-,5000,Dreco,80x80,"6,900x2",NOV,2,75.5/60.8,AR-5000,M-H,MDDM,1250-AC,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DISCOVERER,LUANDA,DS,Enhanced,Enterprise,Class,2010,-,DNV,7500,12000,40000,1Q/22,Angola,56320,13,200,835,125,39,42,22046,72x30,SDP,32,"6x7,000",-,-,-,-,-,-,182,110,110,110,-,5000,Dreco,80x80,"6,900x2",NOV,2,75.5/60.5,AR-5000,M-H,MDDM,1250-AC,-2,NOV,(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,DISCOVERER,SEVEN,SEAS,DS,Sonat,Discoverer,1976,1997,ABS,7000,7000,25000,3Q/18,Indonesia,21500,10,140,534,86,16.7,24.9,9507,26x26,DP,"6x2,500",-,-,-,-,-,-,35,35,60,-,-,1330,Pyramid,46x54,3000,C-E,1.75,49.5,-,Varco,TDS-4S,HSMC,600,P,BJ,Oilfield,Instr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,DISCOVERER,SPIRIT,DS,Enterprise,Class,2000,-,DNV,10000,10000,35000,2Q/18,GoM,52000,13,200,835,125,39,42,22050,80x30,DP-2,"6x7,000",-,-,-,-,-,-,66,66,66,66,-,4000,Dreco,80x80,5000,C-E,2,60.5,-2,Varco,AR3200,Varco,TDS-8SS,-2,Shaffer,"2x1,000",A,Varco-PRS-5,-2,MDT,Y,-,Y,-,4,National,Oilwell,14P-220,6000,9000,9026,32000,Y,8,2,2,4800,6,Hydralift,60.5,F,21,75,I/B,Vetco,10000,15,4.5,3.826,2,6,Hydril,1,Hydril,18x15,708,Vetco,HDH4,MUX,Hydril,Y,2000,,,,,,,,,,,,,,,,,,,,,,
100,GSF,C.R.,LUIGS,DS,Global,Marine,456,Class,2000,-,ABS,10000,10000,35000,2Q/18,GoM,46320,12,150,759,118,28,33,24600,42x42,DPS-3,"6x6,700",-,-,-,-,-,-,77,77,48,48,40,2000,Dreco,60x55,5000,National,2,49.5,Varco,AR3200,Varco,TDS-1000,AC,Shaffer,1000,A/P,Varco-PRS-4i,Varco,Y,-,Y,-,4,National,Oilwell,14P-220,3000,8000,9594,27500,Y,8,2,-,3000,12,Shaffer,21.25,F,21,75,T/B,S&S,10000,15,4.5,4,4,6,Cameron,1,Shaffer,15x20,726,Vetco,HDH4,MUX,Cameron,Y,1500,,,,,,,,,,,,,,,,,,,,,
101,GSF,DEVELOPMENT,DRILLER,II,SS,F&G,ExD,2005,-,ABS,7500,10000,37500,2Q/18,GoM,40766,8,152,324,258,26.9,49.2,7716,140x28,DPS-2+,"8x4,300",3.25,ORQ-K4,3260,3.5,10500,16.5,165,165,17,-,39,3000,"(2,000/1,000)",Bailey,52x57,"7,000/4,500",National,1.75,-2,60.5/49.5,Hydralift,ARN-166,-2,Hydralift,HPS-1000,2E,AC/HPS-500,E,AC,National,"2,000/1,000",A,Hydralift,Br.,Crane,Hydralift,-,Y,Y,-,4,National,Oilwell,14P-220,6850,12200,4868,27395,Y,7,-,2,3000,12,Hydralift,60.5,F,21,75,T/B,Kværner,7500,15,4.5,6,5,5,Hydril,1,Hydril,18x15,750,Vetco,HDH4,MUX,Hydril,Y,"2,000/1,000",,,,,,,,,,,,,,
-,GSF,EXPLORER,DS,Global,Santa,Fe,1972,1998,ABS,7800,7800,30000,3Q/18,India,36780,10,140,619,116,35,34,26350,74x42,DPS-2,"5x2,200,","4x3,000",-,-,-,-,-,-,65,65,25,25,33,2000,M.I.L.,42x61,5000,National,2,49.5,Varco,AR3200,Varco,TDS-1000,AC,Shaffer,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSF,JACK,RYAN,DS,Global,Marine,456,Class,2000,-,ABS,10000,10000,35000,3Q/18,Nigeria,46320,12,150,759,118,28,33,24600,42x42,DPS-3,"6x6,750",-,-,-,-,-,-,77,77,48,48,40,2000,Dreco,60x55,5000,National,2,49.5,Varco,AR3200,Varco,TDS-1000,AC,Shaffer,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,PETROBRAS,10000,DS,Samsung,10000,2009,-,ABS,10000,12000,37500,3Q/23,Brazil,58656,11,199,748,137,28,39,22046,84x41,DP-3,"6x6,035",-,-,-,-,-,-,94,94,94,94,-,4000,NOV,80x60,"5,750x2",NOV,2,60.5,-2,dual,Hydro,racker,Hydralift,HPS-1000,2E,AC,NOV-CMC-1000-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,SEDCO,702,SS,Sedco,700,Series,1973,2007,ABS,6500,6500,25000,1Q/20,Nigeria,26550,5,150,355,245,21,83,4400,20x20,SDP,32,"8x3,000",-,-,-,-,-,-,67,54,-,-,-,1300,LCMoore,50x40,3000,Oilwell,1.75,49.5,NOV,ST-80,Varco,TDS-4S,Rucker,600,P,-,-,-,Y,-,-,3,Nati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,SEDCO,706,SS,Sedco,700,Series,1976,2008,ABS,6500,6500,25000,2Q/18,Brazil,26550,5,150,355,245,21,83,4400,20x20,SDP,32,"8x3,000",-,-,-,-,-,-,67,54,-,-,-,1300,Woolslayer,50x40,3000,Oilwell,1.75,60.5,NOV,ST-80,Varco,TDS-4S,Shaffer,600,P,-,-,Y,Y,-,-,3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,SEDCO,707,SS,Sedco,700,Series,1976,1997,ABS,6500,6500,19685,4Q/18,Brazil,26400,6,112,355,245,21,70,5000,23x16,DP-2,"8x3,000",3,ORQ,-,-,-,15,52.5,52.5,10,-,-,1000,Dreco,50x50,3000,Oilwell,1.5,49.5,-,Varco,TDS-3,Shaffer,600,P,-,"Hitec,",SDI,Y,-,-,Y,3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,SEDCO,EXPRESS,SS,SFXpress,2000,2001,-,ABS,7500,7500,30000,2Q/18,Nigeria,35700,10,184,349,226,29.5,65.5,11350,135x26,DP-3,"4x9,383",-,-,-,2.5,"2x3,280",15,71,71,-,-,30,2057,J.Paris,167x39,6800,N-O,Hitec,2,60.5,MOS,CanRig,-,1500,A,Varco-PRS-5R,-2,MDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,TRANSOCEAN,BARENTS,SS,Aker,H-6e,2009,-,DNV,6500,10000,30000,2Q/18,Norway,56528,8,140,295,230,32,75,7716,75x34,DP-3,"8x6,000",3.3,R4,6562,-,-,16.5,71,71,-,-,-,3000,"(2,000/1,000)",Aker,MH,-,Dual,RamRig,Dual,RamRig,-,60.5,-2,Aker,Hyd,Roughneck,M-H,MDDM,"1,000-AC",/,500-AC,AKMH,RamRig,"2,000/1,000",A,Aker,MH,Racking,-,-,-,-,-,4,Aker,MH,Wirth,TPK-7.1/2,5025,5675,8805,27545,-,4,-,-,3200,6,Aker,MH,60.5,-,21,75,-,Aker,6500,15,4.5,4,1,5,Cameron,2,Cameron,-,-,Cameron,C-PRO,MUX,Cameron,Y,-,,,,,,,,,,,
103,TRANSOCEAN,SPITSBERGEN,SS,Aker,H-6e,2009,-,DNV,6500,10000,30000,3Q/19,Norway,56528,8,140,295,230,32,75,7716,75x34,DP-3,"8x6,000",3.3,R4,6562,-,-,16.5,71,71,-,-,-,3000,"(2,000/1,000)",Aker,MH,-,Dual,RamRig,Dual,RamRig,-,60.5,-2,Aker,Hyd,Roughneck,M-H,MDDM,"1,000-AC",/,500-AC,AKMH,RamRig,"2,000/1,000",A,Aker,MH,Racking,-,-,-,-,-,4,Aker,MH,Wirth,TPK-7.1/2,5025,5675,8805,27545,-,4,-,-,3200,6,Aker,MH,60.5,-,21,75,-,Aker,6500,15,4.5,4,1,5,Cameron,2,Cameron,-,-,Cameron,C-PRO,MUX,Cameron,Y,-,,,,,,,,,,,
-,PLATINUM,EXPLORER,DS,DSME,Design,2010,,ABS,10000,12000,40000,4Q/15,India,56322,12,180,781,138,27.88,39.8,22046,82,x,41.3,DP,-,3,6,-,6166,HP,each,4,K3,1263,,,,93.7,55.1,55.1,55.1,44,2000,AKMH,52,x,46,4500,Wirth,2,60.5,/,49.5,1xAKMH1899,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,TITANIUM,EXPLORER,DS,DSME,Design,2012,,ABS,10000,12000,40000,3Q/20,GOM,56322,12,180,781,138,27.88,39.8,22046,82,x,41.3,DP,-,3,6,-,7375,HP,each,4,K3,1263,,,,93.7,93.7,93.7,55.1,44,2500,AKMH,52,x,46,6000,Wirth,2.25,60.5,/,49.5,1xAKMH1899,Mk,II&1xTorqueM,AKMH,Model,DDM-1250-AC-2M,AKMH,CMC,2800,/,1500,A,AKMH/,BRC,AKMH,/,Wirth,N,15000,15000,N,4,Wirth,TPK,2002-07-01 00:00:00,X,14,/2200CL,8936,10535,5118,28252,N,6,,2,4000,16,AKMH,21.25,H,21,75,B,ADR,12000,15,4.5,3.5,3,6,Cameron,2,Cameron,18,x,15.75,790,Cameron,EVO,MUX,Cameron,Y,N
105,TUNGSTEN,EXPLORER,DS,DSME,Design,2013,,ABS,10000,12000,40000,2Q/14,Malaysia,56322,12,200,781,138,27.88,39.8,22046,82,x,41.3,DP,-,3,6,-,7375,HP,each,4,K3,1272,1.3,,,93.7,93.7,93.7,55.1,44,2800,AKMH,52,x,46,9000,Wirth,2.25,75.5,/,49.5,1xAKMH1899,Mk,II&1xTorqueM,AKMH,Model,DDM-1000-AC-2M,AKMH,CMC,2800,/,1500,A,AKMH/,BRC,AKMH,/,Wirth,N,12000,12000,N,4,Wirth,TPK,2002-07-01 00:00:00,X,14,/2200CL,8884,10560,5118,28547,N,8,,2,3600,16,AKMH,21.25,H,21,75,B,ADR,12000,15,4.5,3.5,2,7,Cameron,2,Cameron,20,x,15.75,842,Cameron,EVO,MUX,Cameron,Y,2200
